Game,Rating,Number of Reviews,Price
N++ (NPLUSPLUS),96%,"1,301",$14.99
Sally Face,96%,"1,290",$2.99
Life Goes On: Done to Death,96%,"1,261","$12.99
$2.59"
SteamWorld Dig 2,96%,"1,240",$19.99
eden*,96%,"1,194",$19.99
Fox Hime Zero,96%,"1,104",$1.99
Sid Meier's Civilization V: Brave New World,96%,"1,110",$29.99
Mad Father,96%,"1,044",$4.99
ACE Academy,96%,"1,028",$19.99
Higurashi When They Cry Hou - Ch.1 Onikakushi,96%,991,$5.99
Equilinox,96%,904,$9.99
Indie Game: The Movie,96%,857,$9.99
Ion Maiden,96%,818,$19.99
The Legend of Heroes: Trails of Cold Steel II,96%,753,$39.99
Zup! 8,96%,754,"$0.99
$0.64"
Zup! X,96%,684,"$0.99
$0.64"
Impossible Creatures Steam Edition,96%,643,$9.99
Binding of Isaac: Wrath of the Lamb,96%,629,$2.99
3030 Deathwar Redux - A Space Odyssey,96%,598,$14.99
SIMULACRA,96%,598,$4.99
Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-,96%,548,$34.99
Hustle Cat,96%,512,$19.99
Battle Chef Brigade + Soundtrack,96%,507,$26.98
Battle Chef Brigade Deluxe,96%,506,$19.99
Garry's Mod,95%,"299,197",$9.99
Intrepid Explorers Pack,95%,"147,542",$31.98
Counter-Strike Complete,95%,"116,155",$12.98
