,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
Super Mario Party- Nintendo Switch,2.449489742783178,2.0,2.6457513110645907,2.449489742783178,3.0,2.6457513110645907,1.4142135623730951,2.449489742783178,2.449489742783178,2.6457513110645907
Super Mario Odyssey - Nintendo Switch Brand New Retail Pack,3.1622776601683795,2.449489742783178,3.3166247903554,3.1622776601683795,3.605551275463989,3.3166247903554,2.8284271247461903,2.8284271247461903,3.1622776601683795,3.3166247903554
Nintendo Switch Super Mario Bros. 8-Bit Super Mario Video Game Controller,3.7416573867739413,3.1622776601683795,3.872983346207417,3.7416573867739413,4.358898943540674,3.605551275463989,3.1622776601683795,3.1622776601683795,4.0,4.123105625617661
Nintendo Mario Tennis Aces for Nintendo Switch System Region Free,3.605551275463989,3.605551275463989,3.7416573867739413,3.0,4.0,4.0,3.605551275463989,3.872983346207417,3.605551275463989,3.7416573867739413
Super Mario Party (Nintendo Switch) $̶5̶9̶.̶9̶9̶ ~ $50 ~,2.6457513110645907,2.23606797749979,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,1.7320508075688772,2.6457513110645907,2.6457513110645907,2.8284271247461903
Mario Tennis Aces Nintendo Switch Game Complete In Box,3.1622776601683795,3.1622776601683795,3.3166247903554,2.449489742783178,3.605551275463989,3.605551275463989,3.1622776601683795,3.4641016151377544,3.1622776601683795,3.3166247903554
Nintendo Super Smash Bro & Mario Kart 8 Video Games for Nintendo Switch System,3.605551275463989,3.605551275463989,4.0,3.872983346207417,4.242640687119285,3.7416573867739413,3.605551275463989,3.872983346207417,3.872983346207417,4.0
"Pre-owned! Super Mario Odyssey (Nintendo Switch, 2017) **GAME ONLY**",3.3166247903554,2.6457513110645907,3.4641016151377544,3.3166247903554,3.7416573867739413,3.4641016151377544,3.0,3.3166247903554,3.3166247903554,3.4641016151377544
"Nintendo Switch Game Lot!! Mario, Zelda and Limited Run Games!! AAA Titles!",3.605551275463989,3.605551275463989,3.7416573867739413,3.605551275463989,4.0,4.0,3.605551275463989,3.872983346207417,3.605551275463989,3.7416573867739413
Mario Rabbids Kingdom Battle and Rayman Legends Nintendo Switch Games,3.3166247903554,3.3166247903554,2.449489742783178,3.3166247903554,3.7416573867739413,3.7416573867739413,3.3166247903554,3.605551275463989,3.3166247903554,3.4641016151377544
Nintendo Switch-SUPER MARIO ODYSSEY (UK IMPORT) GAME NEW,3.1622776601683795,2.449489742783178,3.3166247903554,3.1622776601683795,3.605551275463989,3.3166247903554,2.8284271247461903,2.8284271247461903,3.1622776601683795,3.3166247903554
Mario Kart Steering Wheel for Nintendo Switch Joy-Con 2 Pack Grips Black,3.3166247903554,3.605551275463989,3.7416573867739413,3.605551275463989,4.0,4.0,3.605551275463989,3.872983346207417,3.605551275463989,3.7416573867739413
Mario + Rabbids Kingdom Battle for Nintendo Switch NS and - NEW FACTORY SEALED,3.605551275463989,3.605551275463989,2.8284271247461903,3.605551275463989,4.0,4.0,3.605551275463989,3.605551275463989,3.605551275463989,3.7416573867739413
"Lot of 3 Nintendo Switch Games Mario Party, Mario Kart & Zelda Cartridges Only",3.3166247903554,3.605551275463989,3.7416573867739413,3.605551275463989,4.242640687119285,4.242640687119285,3.3166247903554,3.872983346207417,3.872983346207417,4.0
